6.03941, 6.97062
0.92881, 2.87571
6.96265, 2.06328
-0.0215043, 0.0897584
1.87725, 3.82347
7.02344, 1.84765
4.13687, 0.933783
5.90009, 0.902468
5.85815, 5.96572
4.09438, 5.85788
4.20868, 0.0464917
0.209923, 6.96327
0.0506724, 6.20896
3.23162, 7.07952
6.05976, 3.07309
5.96115, 3.07336
6.89895, 1.09795
4.83624, 4.15247
3.00048, 6.01553
2.90783, 1.95773
-0.0662548, 4.0225
-0.0115738, 0.947771
2.94401, 0.213094
6.0111, 6.98317
2.09501, 5.18727
3.94146, 4.92938
5.99073, 5.23237
1.91722, 0.0829182
2.96365, 1.93649
2.15467, 0.267026
-0.182549, 7.05042
1.86942, 5.21613
1.96117, 4.21035
4.96679, 3.9793
2.94806, 4.06692
6.05607, 1.86366
3.03701, -0.0947878
1.29728, 6.13939
1.10374, 2.81159
2.84798, 0.854354
4.19811, 1.06317
4.97167, -0.134092
3.00523, 5.7885
-0.0273894, 1.96945
2.00755, 3.83343
6.10907, 3.96658
6.99345, 3.07366
5.1239, 0.954977
1.97715, 3.84256
0.0876457, 0.214323
4.02819, 2.00651
5.99008, 6.22995
6.87668, 6.9503
-0.332409, 1.9064
3.94756, 1.74485
1.98557, 1.88603
5.00075, 6.82883
-0.0589187, 1.2306
0.277882, 1.9553
3.88235, 1.19495
5.10351, 0.184669
5.03079, 6.06366
4.83978, -0.0545779
6.97666, 6.88233
0.0310786, -0.0120927
-0.0769846, 5.04226
4.95713, 0.971817
6.73989, 4.92769
5.90449, 2.9801
3.00763, 5.96223
0.823675, 3.04829
2.9883, 6.13905
1.17104, 2.91641
2.8723, 6.03261
2.90021, 3.96934
5.06392, 2.1983
4.98252, 1.92082
5.86297, 5.91818
4.01717, 4.177
4.94894, 2.14962
6.12583, 0.0310548
1.83398, 3.24412
1.84553, 0.900794
5.80796, 5.13827
6.17813, 4.97512
1.90746, 1.30982
0.937509, 4.06549
-0.214841, 0.857882
1.02128, 1.01227
1.96734, 2.85772
2.97467, -0.122147
7.16227, 4.75165
2.88687, 4.11316
2.84413, 4.01036
4.88639, 2.03982
4.8757, 6.14259
5.10533, 6.12391
4.94087, 0.987905
5.04725, 5.07496
2.84216, 1.97323
1.97589, -0.0329069
4.88955, 4.93779
2.03373, 3.15497
6.82363, 2.93986
6.9561, 5.02346
1.77777, 0.999276
2.95379, 5.42637
3.8801, 2.10496
0.14553, 4.05996
1.01352, 4.96698
3.99318, 1.99502
5.05824, 5.95224
6.92078, 2.89516
5.05151, 5.07122
7.12406, 3.93855
2.10263, 6.95399
5.99644, 6.02703
-0.0989243, 3.93626
7.03245, 5.05268
5.86612, 0.234678
-0.101541, 2.89517
0.0385772, 4.14652
4.79183, 0.851171
5.95576, 0.928678
0.865817, -0.106115
1.80403, 3.10579
6.94539, 6.16233
6.10803, 2.95967
3.89478, 6.98656
5.21855, 5.01732
7.09104, 0.0458466
1.14695, 0.0580476
7.00733, 6.00265
3.96409, 1.7473
5.2115, 0.159355
0.836011, 3.902
0.962057, -0.000680346
1.40126, 1.00458
1.09638, 2.97883
2.20928, 5.88657
6.0057, 1.97209
-0.00655451, 1.07936
1.1219, 0.760413
5.93389, 0.805966
6.00363, 6.24768
0.935325, 3.77165
4.11066, 4.02082
-0.166624, -0.0508468
6.90856, 0.850238
6.14855, 4.16826
2.89389, 3.07222
5.81374, 3.95524
3.97956, 3.9769
2.00176, 3.08998
3.08837, 3.8698
2.06779, 3.84636
5.85492, 2.98908
6.2005, 5.14196
4.61314, 3.04738
6.19134, 1.8463
2.00991, 3.02007
6.20949, 6.99087
0.910467, 5.0984
2.98648, 0.816902
7.08315, 7.06488
6.08503, 1.85557
5.98796, 7.01327
1.10309, 5.77157
5.95378, 5.05345
0.866358, 1.08384
6.0282, 2.89921
-0.00449328, 2.96463
5.0293, 6.13501
6.92348, 6.18904
1.22959, 2.09401
1.2015, -0.0950199
7.04723, 4.86801
3.87621, 3.1546
-0.130354, 5.94231
