sigma,errors,ber
0,0,0
0.1,0,0
0.2,693,0.005775
0.3,5691,0.047425
0.4,12865,0.107208
0.5,19118,0.159317
0.6,24161,0.201342
0.7,27837,0.231975
0.8,30800,0.256667
0.9,33095,0.275792
1,35206,0.293383
1.1,36638,0.305317
1.2,37943,0.316192
1.3,38962,0.324683
1.4,40086,0.33405
1.5,40889,0.340742
1.6,41642,0.347017
1.7,42659,0.355492
1.8,43069,0.358908
1.9,44171,0.368092
2,44623,0.371858
2.1,45125,0.376042
2.2,45729,0.381075
2.3,45965,0.383042
2.4,46387,0.386558
2.5,46962,0.39135
2.6,47123,0.392692
2.7,47686,0.397383
2.8,47930,0.399417
2.9,48226,0.401883
3,48960,0.408
3.1,49188,0.4099
3.2,49688,0.414067
3.3,49962,0.41635
3.4,50296,0.419133
3.5,50298,0.41915
3.6,50462,0.420517
3.7,51095,0.425792
3.8,51036,0.4253
3.9,51242,0.427017
4,51324,0.4277
4.1,51399,0.428325
4.2,51588,0.4299
4.3,51970,0.433083
4.4,52238,0.435317
4.5,52256,0.435467
4.6,52524,0.4377
4.7,52792,0.439933
4.8,52752,0.4396
4.9,52530,0.43775
5,52911,0.440925
5.1,53346,0.44455
5.2,53721,0.447675
5.3,52895,0.440792
5.4,53284,0.444033
5.5,53505,0.445875
5.6,53970,0.44975
5.7,53865,0.448875
5.8,53793,0.448275
5.9,53793,0.448275
6,54035,0.450292
6.1,54276,0.4523
6.2,54665,0.455542
6.3,54447,0.453725
6.4,54513,0.454275
6.5,54307,0.452558
6.6,54581,0.454842
6.7,54760,0.456333
6.8,54733,0.456108
6.9,54735,0.456125
7,54760,0.456333
7.1,54709,0.455908
7.2,55127,0.459392
7.3,55091,0.459092
7.4,55245,0.460375
7.5,55461,0.462175
7.6,55249,0.460408
7.7,55305,0.460875
7.8,55515,0.462625
7.9,55297,0.460808
8,55697,0.464142
8.1,55911,0.465925
8.2,55563,0.463025
8.3,55799,0.464992
8.4,55740,0.4645
8.5,56109,0.467575
8.6,55742,0.464517
8.7,56126,0.467717
8.8,55876,0.465633
8.9,55955,0.466292
9,56018,0.466817
9.1,55802,0.465017
9.2,56279,0.468992
9.3,56136,0.4678
9.4,56469,0.470575
9.5,56337,0.469475
9.6,56653,0.472108
9.7,56346,0.46955
9.8,56303,0.469192
9.9,56500,0.470833
10,56568,0.4714
